scene_id,camera_id,precision,recall,f1_score,map_score,total_persons,total_detections,true_positives,false_positives,false_negatives,unique_failed_persons,day_failures,night_failures,transition_failures,low_density_failures,medium_density_failures,high_density_failures
s10,c09,0.9468966299784409,0.9450736126840317,0.9459842430425665,0.9450736126840317,8830,8813,8345,468,485,1,485,0,0,485,0,0
s10,c12,0.8503370786516854,0.8512935883014623,0.850815064643058,0.8512935883014623,4445,4450,3784,666,661,1,552,0,109,661,0,0
s10,c13,0.9185986604842864,0.953475935828877,0.9357124114405668,0.953475935828877,3740,3882,3566,316,174,1,174,0,0,174,0,0
s10,c16,1.0259493986725885,0.9602970713251436,0.9920382165605096,0.9602970713251436,21409,20039,20559,-520,850,1,850,0,0,0,850,0
s47,c01,0.9593639575971732,0.9095477386934674,0.9337919174548581,0.9095477386934674,2985,2830,2715,115,270,1,0,0,270,0,270,0
s47,c02,0.9693449974270382,0.9134109171515655,0.940547095117515,0.9134109171515655,14436,13603,13186,417,1250,1,0,0,1250,0,1250,0
s47,c03,0.985474108944183,0.9431476872908264,0.9638464405516214,0.9431476872908264,23306,22305,21981,324,1325,1,0,0,1325,2,1323,0
s47,c05,1.008877159309021,0.9477124183006536,0.9773387565368971,0.9477124183006536,8874,8336,8410,-74,464,1,0,0,464,0,142,322
